AC#_BAC_well/plate:type	Chromosome assignment (Timoshevskiy et al. 2014)	Band assignment (Timoshevskiy et al. 2014)	AaegL2 scaffold	Position in AaegL2 scaffold	Position in AaegL2 scaffold
CC842274_NDL.026H3:T7	chr1	1q31	CH477564.1	133426	133426
CC842269_NDL.026H3:SP6	chr1	1q31	CH477564.1	20721	20721
CC845640_NDL.100I12:SP6	chr1	1q32	CH477252.1	1009347	1009347
CC119582_NDL.046L1:T7	chr1	1q32	CH477273.1	2432204	2432204
R19560_(TY7)_NDL.046L1:GM	chr1	1q32	CH477273.1	2402242	2402242
CC119576_NDL.046L1:SP6	chr1	1q32	CH478201.1	204762	204762
CC115829_NDL.042B22:T7	chr1	1q32	CH477340.1	1847516	1847516
CC115825_NDL.042B22:SP6	chr1	1q32	CH477340.1	1761483	1761483
CC114694_NDL.004C10:SP6	chr1	1q32	CH477340.1	1220013	1220013
CC865500_NDL.101N16:T7	chr1	1q32	CH477500.1	825510	825510
CC865496_NDL.101N16:SP6	chr1	1q32	CH477500.1	928925	928925
CC143747_NDL.013M1:T7	chr1	1q33	CH477265.1	536654	536654
CC143745_NDL.013M1:SP6	chr1	1q33	CH477265.1	635752	635752
AF443282_(slo)_NDL.010B1:GM	chr1	1q33	CH477281.1	1775070	1775070
CC108368_NDL.087M5:T7	chr1	1q33	CH477281.1	1802858	1802858
CC108365_NDL.087M5:SP6	chr1	1q33	CH477281.1	1629468	1629468
CC841980_NDL.039D4:T7	chr1	1q33	CH477302.1	464291	464291
CC841978_NDL.039D4:SP6	chr1	1q33	CH477302.1	394980	394980
BH214541_(D6L500)_NDL.059H24:GM	chr1	1q33	CH477338.1	363891	363891
CC843922_NDL.008F24:T7	chr1	1q33* 2 signals on chr1	CH477469.1	1004548	1004548
AF288384_(Dce1)_NDL.008F24:GM	chr1	1q33* 2 signals on chr1	CH477186.1	52195	52195
CC843917_NDL.008F24:SP6	chr1	1q33* 2 signals on chr1	CH477759.1	681808	681808
CC114409_NDL.047P3:T7	chr1	1q41	CH477255.1	1471944	1471944
CC114401_NDL.047P3:SP6	chr1	1q41	CH477255.1	1336653	1336653
CC853989_NDL.113D17:T7	chr1	1q41	CH477258.1	2873718	2873718
CC852147_NDL.113D17:SP6	chr1	1q41	CH477258.1	2808295	2808295
CC118789_NDL.035O21:T7	chr1	1q41	CH477385.1	1012598	1012598
AF326341_(FerH)_NDL.035O21:GM	chr1	1q41	CH477437.1	580876	580876
CC107550_NDL.001P15:T7	chr1	1q42	CH477466.1	1287422	1287422
CC107546_NDL.001P15:SP6	chr1	1q42	CH477466.1	1202286	1202286
CC138100_NDL.050A4:T7	chr1	1q42	CH477835.1	512370	512370
AF393727_(NaK)_NDL.050A4:GM	chr1	1q42	CH477835.1	525036	525036
CC138096_NDL.050A4:SP6	chr1	1q42	CH478413.1	218846	218846
CC866919_NDL.109E9:T7	chr1	1q42	CH477650.1	332112	332112
CC861722_NDL.109E9:SP6	chr1	1q42	CH477650.1	332343	332343
CC135282_NDL.009H22:T7	chr1	1q43	CH477267.1	1701155	1701155
CC135277_NDL.009H22:SP6	chr1	1q43	CH477267.1	1781308	1781308
CC134554_NDL.001C19:T7	chr1	1q43	CH477318.1	1063661	1063661
CC134552_NDL.001C19:SP6	chr1	1q43	CH477318.1	1149901	1149901
CC117339_NDL.025H9:T7	chr1	1q44	CH477205.1	3728277	3728277
CC117336_NDL.025H9:SP6	chr1	1q44	CH477205.1	3809806	3809806
CC845107_NDL.017O21:T7	chr1	1q44	CH477253.1	2243004	2243004
AY033622_(AEGbS11)_NDL.017O21:GM	chr1	1q44	CH477253.1	2110690	2110690
CC121540_NDL.054F19:T7	chr1	1q44	CH477623.1	304900	304900
BI099650_(AEGI22)_NDL.054F19:GM	chr1	1q44	CH477623.1	226874	226874
CC121419_NDL.054F19:SP6	chr1	1q44	CH477623.1	215325	215325
CC150449_NDL.060C14:T7	chr1	1q44	CH477625.1	497270	497270
BH214544_(RT6)_NDL.060C14:GM	chr1	1q44	CH477625.1	568512	568512
CC143780_NDL.060C14:SP6	chr1	1q44	CH477625.1	596192	596192
CC110346_NDL.054P11:SP6	chr2	2p44	CH477205.1	936261	936261
CC853005_NDL.110C14:T7	chr2	2p44	CH477205.1	2159048	2159048
CC853001_NDL.110C14:SP6	chr2	2p44	CH477205.1	2246441	2246441
AF326340_(AEGI8)_NDL.106A1:GM	chr2	2p44	CH477330.1	1924433	1924433
CC124205_NDL.014I5:T7	chr2	2p44	CH477368.1	625380	625380
CC844063_NDL.097I23:T7	chr2	2p44	CH477368.1	861007	861007
CC844059_NDL.097I23:SP6	chr2	2p44	CH477368.1	615262	615262
CC118032_NDL.019J3:T7	chr2	2p44	CH477428.1	1505392	1505392
CC118026_NDL.019J3:SP6	chr2	2p44	CH477428.1	1406767	1406767
CC842011_NDL.056E22:T7	chr2	2p44	CH477471.1	1037704	1037704
CC842005_NDL.056E22:SP6	chr2	2p44	CH477471.1	1125476	1125476
CC863757_NDL.021P14:T7	chr2	2p44	CH477491.1	1288850	1288850
CC863755_NDL.021P14:SP6	chr2	2p44	CH477491.1	1211093	1211093
CC123034_NDL.072G3:T7	chr2	2p44	CH477526.1	525819	525819
CC123032_NDL.072G3:SP6	chr2	2p44	CH477526.1	621626	621626
CC144049_NDL.095H5:SP6	chr2	2p44	CH477526.1	511754	511754
CC851960_NDL.100L3:T7	chr2	2p44	CH477553.1	1048627	1048627
CC851957_NDL.100L3:SP6	chr2	2p44	CH477553.1	983708	983708
CC111154_NDL.014P21:T7	chr2	2p43	CH477504.1	1247995	1247995
U28803_(Rdl)_NDL.014P21:GM	chr2	2p43	CH477504.1	989147	989147
CC111149_NDL.014P21:SP6	chr2	2p43	CH477504.1	1137002	1137002
CC137090_NDL.050D10:T7	chr2	2p43	CH477541.1	659238	659238
CC137088_NDL.050D10:SP6	chr2	2p43	CH477541.1	713192	713192
CC135387_NDL.067B1:SP6	chr2	2p42	CH477221.1	2861502	2861502
CC870565_NDL.108H14:T7	chr2	2p42	CH477221.1	2922561	2922561
CC140396_NDL.031K22:T7	chr2	2p42	CH477237.1	1567792	1567792
CC140392_NDL.031K22:SP6	chr2	2p42	CH477237.1	1483034	1483034
L46594_(VCP)_NDL.061G1:GM	chr2	2p42	CH477395.1	1324224	1324224
CC869613_NDL.044H3:T7	chr2	2p42	CH477513.1	904467	904467
R67978_(LF115)_NDL.044H3:GM	chr2	2p42	CH477513.1	928278	928278
T58310_(LF250)_NDL.041P5:GM	chr2	2p42	CH477766.1	154291	154291
CC875155_NDL.041P5:SP6	chr2	2p42	CH477766.1	102462	102462
CC151300_NDL.038M5:T7	chr2	2p42	CH477504.1	280452	280452
BM005482_(LF291)_NDL.038M5:GM	chr2	2p42	CH477971.1	370574	370574
CC151177_NDL.038M5:SP6	chr2	2p42	CH477504.1	376007	376007
CC868312_NDL.036A5:T7	chr2	2p41	CH477200.1	3843812	3843812
CC868306_NDL.036A5:SP6	chr2	2p41	CH477200.1	3959529	3959529
CC109316_NDL.057N3:T7	chr2	2p41	CH477200.1	3435944	3435944
CC109310_NDL.057N3:SP6	chr2	2p41	CH477200.1	3262594	3262594
CC858760_NDL.111D3:T7	chr2	2p41	CH477217.1	1728978	1728978
CC858752_NDL.111D3:SP6	chr2	2p41	CH477217.1	1627456	1627456
CC110219_NDL.066C6:T7	chr2	2p41	CH477309.1	1840440	1840440
CC110215_NDL.066C6:SP6	chr2	2p41	CH477309.1	1923062	1923062
T58313_(LF98)_NDL.030J23:GM	chr2	2p41	CH477333.1	1837087	1837087
BG937399_(AEGI27_(LF181))_NDL.118J5:GM	chr2	2p41	CH477336.1	1868195	1868195
CC845577_NDL.044N13:T7	chr2	2p34	CH477190.1	4393382	4393382
BH214533_(A13L975)_NDL.044N13:GM	chr2	2p34	CH477190.1	4377067	4377067
CC861615_NDL.120J19:T7	chr2	2p34	CH477207.1	137873	137873
CC139116_NDL.037P12:T7	chr2	2p34	CH477215.1	2799600	2799600
CC139110_NDL.037P12:SP6	chr2	2p34	CH477215.1	2670002	2670002
BM005510_(LF407)_NDL.015J1:GM	chr2	2p34	CH477404.1	691343	691343
CC118768_NDL.020N18:T7	chr2	2p34	CH477404.1	427753	427753
AF000569_(AmyI)_NDL.020N18:GM	chr2	2p34	CH477404.1	415305	415305
CC118763_NDL.020N18:SP6	chr2	2p34	CH477404.1	365321	365321
BM005511_(LF409)_NDL.002K24:GM	chr2	2p34	CH477889.1	49684	49684
CC851284_NDL.002K24:SP6	chr2	2p34	CH477889.1	4931	4931
CC842939_NDL.026O21:T7	chr2	2p33	CH477533.1	1245160	1245160
BM005512_(LF342)_NDL.026O21:GM	chr2	2p33	CH477224.1	2532074	2532074
CC842935_NDL.026O21:SP6	chr2	2p33	CH477533.1	1332331	1332331
CC134321_NDL.028E19:T7	chr2	2p33	CH477224.1	2334008	2334008
CC134315_NDL.028E19:SP6	chr2	2p33	CH477224.1	2446474	2446474
CC116693_NDL.051L12:T7	chr2	2p33	CH477453.1	314373	314373
CC116687_NDL.051L12:SP6	chr2	2p33	CH477453.1	414900	414900
M77814_(TrypB)_NDL.033H12:GM	chr2	2p33	CH478002.1	66374	66374
CC858631_NDL.033H12:SP6	chr2	2p33	CH478002.1	187432	187432
CC136578_NDL.027D17:T7	chr2	2p32* 1q22^	CH477243.1	893642	893642
CC136570_NDL.027D17:SP6	chr2	2p32* 1q22^	CH477243.1	814965	814965
CC872270_NDL.008H13:T7	chr2	2p32	CH477243.1	1723538	1723538
CC864660_NDL.055L5:T7	chr2	2p32	CH477263.1	270068	270068
CC862836_NDL.055L5:SP6	chr2	2p32	CH477263.1	414970	414970
CC860108_NDL.099K22:T7	chr2	2p32	CH477305.1	1111397	1111397
CC860103_NDL.099K22:SP6	chr2	2p32	CH477305.1	1056823	1056823
CC869678_NDL.008I12:T7	chr2	2p32	CH477317.1	70981	70981
T58327_(LF233)_NDL.008I12:GM	chr2	2p32	CH477317.1	21337	21337
CC869676_NDL.008I12:SP6	chr2	2p32	CH478002.1	47948	47948
CC862197_NDL.120J21:T7	chr2	2p32	CH477319.1	620038	620038
CC862192_NDL.120J21:SP6	chr2	2p32	CH477319.1	696782	696782
T58328_(LF282)_NDL.097L13:GM	chr2	2p32	CH477462.1	616553	616553
CC858708_NDL.097L13:SP6	chr2	2p32	CH477462.1	633906	633906
AY033624_(AEGI23)_NDL.061B12:GM	chr2	2p32	CH477562.1	687550	687550
CC111871_NDL.061B12:SP6	chr2	2p32	CH478354.1	48663	48663
CC142595_NDL.004P14:T7	chr2	2p31 	CH477297.1	1192598	1192598
CC142590_NDL.004P14:SP6	chr2	2p31 	CH477297.1	1105630	1105630
CC857922_NDL.055A19:T7	chr2	2p31	CH477595.1	999069	999069
CC874799_NDL.055A19:SP6	chr2	2p31	CH477595.1	834821	834821
CC859287_NDL.022C6:T7	chr2	2p27	CH477297.1	1042374	1042374
CC859281_NDL.022C6:SP6	chr2	2p27	CH477297.1	1146470	1146470
CC109004_NDL.028P14:T7	chr2	2p27	CH477453.1	450523	450523
CC109001_NDL.028P14:SP6	chr2	2p27	CH477453.1	372814	372814
CC855002_NDL.122H2:T7	chr2	2p26	CH477213.1	1058971	1058971
CC854999_NDL.122H2:SP6	chr2	2p26	CH477213.1	1243140	1243140
CC119034_NDL.035C21:T7	chr2	2p26	CH477570.1	895743	895743
CC119029_NDL.035C21:SP6	chr2	2p26	CH477570.1	997331	997331
CC137908_NDL.079L4:T7	chr2	2p25	CH477354.1	210921	210921
CC123778_NDL.079L4:SP6	chr2	2p25	CH478184.1	42221	42221
CC130380_NDL.023K16:T7	chr2	2p25	CH477385.1	587450	587450
CC130375_NDL.023K16:SP6	chr2	2p25	CH477385.1	483974	483974
CC140646_NDL.093B5:T7	chr2	2p25	CH477396.1	22455	22455
CC140644_NDL.093B5:SP6	chr2	2p25	CH477396.1	163374	163374
CC119500_NDL.094D22:T7	chr2	2p25	CH477396.1	798237	798237
CC119499_NDL.094D22:SP6	chr2	2p25	CH477396.1	739829	739829
CC873052_NDL.098K20:T7	chr2	2p25	CH477440.1	461523	461523
CC873048_NDL.098K20:SP6	chr2	2p25	CH477440.1	354755	354755
CC849018_NDL.064H22:T7	chr2	2p24	CH477213.1	2416918	2416918
CC849012_NDL.064H22:SP6	chr2	2p24	CH477213.1	2368599	2368599
CC135001_NDL.025P12:SP6	chr2	2p24	CH477426.1	992069	992069
CC124157_NDL.058C21:SP6	chr2	2p24	CH477426.1	979276	979276
CC115972_NDL.013O2:T7	chr2	2p24	CH478450.1	82047	82047
CC127602_NDL.029L20:T7	chr2	2p23	CH477213.1	2329576	2329576
CC127596_NDL.029L20:SP6	chr2	2p23	CH477213.1	2227183	2227183
CC846525_NDL.119L12:T7	chr2	2p23	CH477213.1	3498388	3498388
CC846523_NDL.119L12:SP6	chr2	2p23	CH477213.1	3569078	3569078
CC131290_NDL.014B6:SP6	chr2	2p23	CH477307.1	1694079	1694079
CC125989_NDL.068L1:SP6	chr2	2p23	CH477421.1	1473504	1473504
CC111389_NDL.075E3:T7	chr2	2p23	CH477421.1	1289523	1289523
CC111387_NDL.075E3:SP6	chr2	2p23	CH477421.1	1426013	1426013
CC135433_NDL.016B21:T7	chr2	2p23	CH477517.1	269127	269127
CC135429_NDL.016B21:SP6	chr2	2p23	CH477517.1	340434	340434
CC863481_NDL.041M14:T7	chr2	2p23	CH477549.1	259408	259408
CC863374_NDL.041M14:SP6	chr2	2p23	CH477549.1	117208	117208
CC140680_NDL.093E14:T7	chr2	2p22	CH477227.1	2854717	2854717
CC140676_NDL.093E14:SP6	chr2	2p22	CH477227.1	2762475	2762475
CC121284_NDL.023I17:T7	chr2	2p22	CH477239.1	3239071	3239071
CC121279_NDL.023I17:SP6	chr2	2p22	CH477239.1	3120964	3120964
CC126787_NDL.053F21:T7	chr2	2p22	CH477352.1	1002334	1002334
CC126784_NDL.053F21:SP6	chr2	2p22	CH477352.1	925702	925702
CC873501_NDL.119C7:T7	chr2	2p22	CH477359.1	885330	885330
CC852759_NDL.119C7:SP6	chr2	2p22	CH477359.1	817008	817008
CC845724_NDL.055C23:T7	chr2	2p21	CH477568.1	280902	280902
T58332_(LF138)_NDL.055C23:GM	chr2	2p21	CH477210.1	3562736	3562736
CC872175_NDL.055C23:SP6	chr2	2p21	CH477248.1	2463408	2463408
CC872344_NDL.097A22:T7	chr2	2p21	CH477216.1	1445604	1445604
CC872342_NDL.097A22:SP6	chr2	2p21	CH477216.1	1338354	1338354
CC842466_NDL.099O13:T7	chr2	2p21	CH477227.1	351107	351107
CC842461_NDL.099O13:SP6	chr2	2p21	CH477227.1	277994	277994
CC862644_NDL.008C10:T7	chr2	2p21	CH477231.1	2388648	2388648
CC862637_NDL.008C10:SP6	chr2	2p21	CH477231.1	2252795	2252795
CC123263_NDL.083A9:T7	chr2	2p21	CH477322.1	141440	141440
CC123261_NDL.083A9:SP6	chr2	2p21	CH477322.1	313189	313189
CC870659_NDL.096K4:T7	chr2	2p13	CH477216.1	1106243	1106243
CC844627_NDL.131A14:T7	chr2	2p13	CH477216.1	391191	391191
CC844625_NDL.131A14:SP6	chr2	2p13	CH477216.1	495412	495412
CC857318_NDL.096I16:T7	chr2	2p13	CH477228.1	1287196	1287196
BM005486_(LF180)_NDL.096I16:GM	chr2	2p13	CH477229.1	530724	530724
CC133089_NDL.034M18:T7	chr2	2p13	CH477261.1	2283906	2283906
CC109769_NDL.019I15:T7	chr2	2p12	CH477216.1	1452377	1452377
CC109763_NDL.019I15:SP6	chr2	2p12	CH477693.1	9319	9319
CC113819_NDL.034M4:T7	chr2	2p12	CH477261.1	600054	600054
CC113815_NDL.034M4:SP6	chr2	2p12	CH477261.1	555229	555229
CC136074_NDL.045H4:T7	chr2	2p12	CH477275.1	326346	326346
CC136069_NDL.045H4:SP6	chr2	2p12	CH477275.1	217185	217185
CC132265_NDL.054L1:T7	chr2	2p12	CH477523.1	1078390	1078390
CC132162_NDL.054L1:SP6	chr2	2p12	CH477523.1	972700	972700
BM378049_(LF169)_NDL.091P10:GM	chr2	2p12	CH477886.1	33257	33257
CC140594_NDL.091P10:SP6	chr2	2p12	CH477673.1	909047	909047
CC137879_NDL.032G14:SP6	chr2	2p11	CH477444.1	421648	421648
CC850097_NDL.064G23:T7	chr2	2p11	CH477444.1	468413	468413
BH214531_(a14)_NDL.064G23:GM	chr2	2p11	CH477444.1	416790	416790
CC850091_NDL.064G23:SP6	chr2	2p11	CH477444.1	391501	391501
CC130420_NDL.049A15:T7	chr2	2p11	CH477565.1	784958	784958
CC130418_NDL.049A15:SP6	chr2	2p11	CH477565.1	882387	882387
CC150774_NDL.040I24:T7	chr2	2p11	CH900172.1	7096	7096
BM005485_(LF158)_NDL.040I24:GM	chr2	2p11	CH899796.1	182795	182795
CC137886_NDL.032G14:T7	chr2	2p11	CH477444.1	302468	302468
CC122800_NDL.018B23:T7	chr2	2q11	CH477214.1	2782048	2782048
CC122795_NDL.018B23:SP6	chr2	2q11	CH477214.1	2890662	2890662
CC126753_NDL.051F20:SP6	chr2	2q11	CH477381.1	1367754	1367754
CC118928_NDL.060C13:T7	chr2	2q11	CH477433.1	1190735	1190735
