Contig with marker, accession number	Linkage map chromosome (Juneja et al.)	Linkage map position, cM (Juneja et al.)	AaegL2 scaffold	Start position on AaegL2 scaffold	End position on AaegL2 scaffold
AAGE02001780.1	chr1	18.675	CH477211.1	1190415	1301894
AAGE02001810.1	chr3	28.979	CH477211.1	3620919	3742474
AAGE02001820.1	chr2	65.871	CH477212.1	672165	802110
AAGE02001826.1	chr2	65.871	CH477212.1	1081277	1221251
AAGE02001832.1	chr2	65.871	CH477212.1	2180218	2369776
AAGE02001848.1	chr2	38.175	CH477212.1	3264321	3345959
AAGE02001875.1	chr2	49.629	CH477213.1	444505	476951
AAGE02001878.1	chr2	49.629	CH477213.1	496689	637982
AAGE02001881.1	chr2	49.629	CH477213.1	721747	945124
AAGE02001889.1	chr2	49.629	CH477213.1	1185551	1256402
AAGE02001892.1	chr2	49.629	CH477213.1	1418340	1508871
AAGE02001893.1	chr2	49.629	CH477213.1	1509053	1612518
AAGE02001895.1	chr2	49.629	CH477213.1	1630043	1941827
AAGE02001896.1	chr2	49.629	CH477213.1	1941928	2024942
AAGE02001900.1	chr2	49.629	CH477213.1	2085342	2141802
AAGE02001901.1	chr2	49.629	CH477213.1	2149323	2181746
AAGE02001904.1	chr2	49.629	CH477213.1	2200257	2238167
AAGE02001908.1	chr2	49.629	CH477213.1	2290566	2356020
AAGE02001909.1	chr2	49.629	CH477213.1	2356160	2391905
AAGE02001910.1	chr2	49.629	CH477213.1	2392092	2580480
AAGE02001911.1	chr2	49.629	CH477213.1	2580581	2593309
AAGE02001915.1	chr2	49.629	CH477213.1	2625618	2738232
AAGE02001921.1	chr2	49.629	CH477213.1	2901741	3125476
AAGE02002002.1	chr1	21.535	CH477214.1	1272195	1377634
AAGE02002005.1	chr3	57.985	CH477214.1	1461376	1646350
AAGE02002012.1	chr2	85.257	CH477214.1	1946300	2143628
AAGE02002031.1	chr2	85.257	CH477214.1	3495886	3675203
AAGE02002050.1	chr3	17.538	CH477215.1	387548	494478
AAGE02002053.1	chr3	17.538	CH477215.1	616675	672276
AAGE02002054.1	chr3	17.538	CH477215.1	672377	748694
AAGE02002057.1	chr3	17.538	CH477215.1	892912	1056999
AAGE02002058.1	chr3	17.538	CH477215.1	1057100	1289316
AAGE02002059.1	chr3	17.538	CH477215.1	1289417	1412088
AAGE02002060.1	chr3	17.538	CH477215.1	1412347	1531223
AAGE02002062.1	chr3	17.538	CH477215.1	1550315	1669839
AAGE02002063.1	chr3	17.538	CH477215.1	1669940	1782150
AAGE02002064.1	chr3	17.538	CH477215.1	1782251	2145121
AAGE02002101.1	chr2	52.532	CH477216.1	1	42781
AAGE02002102.1	chr2	52.532	CH477216.1	43188	55656
AAGE02002103.1	chr2	52.532	CH477216.1	55757	116913
AAGE02002105.1	chr2	52.532	CH477216.1	190261	322876
AAGE02002111.1	chr2	52.532	CH477216.1	541162	706986
AAGE02002113.1	chr2	52.532	CH477216.1	791513	955516
AAGE02002117.1	chr2	52.532	CH477216.1	1041700	1329608
AAGE02002120.1	chr2	52.532	CH477216.1	1555918	1747971
AAGE02002125.1	chr2	52.532	CH477216.1	1924385	2012292
AAGE02002138.1	chr2	65.871	CH477216.1	2468186	2817019
AAGE02002143.1	chr2	65.871	CH477216.1	3176522	3388308
AAGE02002156.1	chr2	29.911	CH477217.1	107685	213963
AAGE02002163.1	chr1	12.537	CH477217.1	313510	328984
AAGE02002165.1	chr2	24.557	CH477217.1	342300	502706
AAGE02002175.1	chr2	29.911	CH477217.1	714237	885722
AAGE02002177.1	chr2	24.557	CH477217.1	888563	913926
AAGE02002179.1	chr2	24.557	CH477217.1	1054879	1163111
AAGE02002181.1	chr2	24.557	CH477217.1	1165566	1189255
AAGE02002235.1	chr2	29.911	CH477217.1	2656186	2723301
AAGE02002236.1	chr2	24.557	CH477217.1	2723402	2849904
AAGE02002271.1	chr1	18.675	CH477218.1	706445	936288
AAGE02002274.1	chr1	18.675	CH477218.1	1046014	1110350
AAGE02002276.1	chr1	18.675	CH477218.1	1172510	1205409
AAGE02002280.1	chr1	18.675	CH477218.1	1403059	1454004
AAGE02002281.1	chr1	18.675	CH477218.1	1454105	1544266
AAGE02002284.1	chr1	18.675	CH477218.1	1622732	1649532
AAGE02002290.1	chr1	18.675	CH477218.1	2259630	2592529
AAGE02002312.1	chr2	52.532	CH477219.1	1	103099
AAGE02002317.1	chr2	52.532	CH477219.1	204300	219670
AAGE02002318.1	chr2	52.532	CH477219.1	219771	298512
AAGE02002321.1	chr2	52.532	CH477219.1	385967	457000
AAGE02002323.1	chr2	52.532	CH477219.1	467798	690143
AAGE02002325.1	chr2	52.532	CH477219.1	697995	753069
AAGE02002333.1	chr2	52.532	CH477219.1	959612	1133848
AAGE02002343.1	chr2	52.532	CH477219.1	1469443	1494814
AAGE02002344.1	chr2	52.532	CH477219.1	1494915	1526339
AAGE02002350.1	chr2	52.532	CH477219.1	1637775	1723265
AAGE02002352.1	chr2	52.532	CH477219.1	1729640	1896450
AAGE02002354.1	chr2	52.532	CH477219.1	1904115	2042118
AAGE02002356.1	chr2	52.532	CH477219.1	2078329	2620000
AAGE02002359.1	chr2	52.532	CH477219.1	2731085	2974601
AAGE02002360.1	chr2	52.532	CH477219.1	2974702	3296560
AAGE02002363.1	chr2	52.532	CH477219.1	3330129	3353992
AAGE02002366.1	chr2	52.532	CH477219.1	3395157	3476260
AAGE02002376.1	chr3	33.231	CH477220.1	259269	611054
AAGE02002403.1	chr3	33.231	CH477220.1	1821462	1982803
AAGE02002404.1	chr3	33.231	CH477220.1	1982904	2019023
AAGE02002408.1	chr3	33.231	CH477220.1	2132789	2206305
AAGE02002414.1	chr3	33.231	CH477220.1	2604566	2826486
AAGE02002422.1	chr3	33.231	CH477220.1	3191020	3408630
AAGE02002469.1	chr2	8.657	CH477221.1	1767276	1857797
AAGE02002484.1	chr2	8.657	CH477221.1	2491655	2520689
AAGE02002485.1	chr2	8.657	CH477221.1	2520790	2563519
AAGE02002589.1	chr1	21.535	CH477222.1	2182872	2210797
AAGE02002613.1	chr1	21.535	CH477222.1	3060910	3153109
AAGE02002641.1	chr2	52.532	CH477223.1	1194891	1374724
AAGE02002647.1	chr2	52.532	CH477223.1	1607885	1912181
AAGE02002648.1	chr2	52.532	CH477223.1	1912282	1958587
AAGE02002650.1	chr2	52.532	CH477223.1	1993771	2151470
AAGE02002651.1	chr2	52.532	CH477223.1	2152431	2170529
AAGE02002671.1	chr2	52.532	CH477223.1	3432062	3498553
AAGE02002702.1	chr2	43.896	CH477224.1	1685291	1915810
AAGE02002717.1	chr2	43.896	CH477224.1	2794562	2806309
AAGE02002718.1	chr2	43.896	CH477224.1	2806743	2859076
AAGE02002734.1	chr2	82.397	CH477225.1	106917	210154
AAGE02002750.1	chr2	85.257	CH477225.1	1966120	2120677
AAGE02002761.1	chr2	85.257	CH477225.1	2889775	3144368
AAGE02002771.1	chr2	15.163	CH477226.1	281947	383633
AAGE02002774.1	chr2	15.163	CH477226.1	443350	774800
AAGE02002776.1	chr2	15.163	CH477226.1	799049	1050468
AAGE02002784.1	chr2	15.163	CH477226.1	1490104	1600474
AAGE02002786.1	chr2	15.163	CH477226.1	1641972	1799683
AAGE02002795.1	chr2	15.163	CH477226.1	2080969	2176922
AAGE02002828.1	chr2	49.629	CH477227.1	573917	691304
AAGE02002830.1	chr2	49.629	CH477227.1	700199	822640
AAGE02002858.1	chr2	49.629	CH477227.1	2139507	2267784
AAGE02002861.1	chr2	49.629	CH477227.1	2320502	2343325
AAGE02002866.1	chr2	49.629	CH477227.1	2405618	2458141
AAGE02002876.1	chr2	49.629	CH477227.1	2688868	2928804
AAGE02002929.1	chr2	65.871	CH477228.1	834713	1402203
AAGE02002934.1	chr2	65.871	CH477228.1	1697980	1780910
AAGE02002936.1	chr2	65.871	CH477228.1	1787128	1866980
AAGE02002966.1	chr2	52.532	CH477229.1	665397	709558
AAGE02002977.1	chr2	52.532	CH477229.1	898674	958214
AAGE02002980.1	chr2	52.532	CH477229.1	990426	1028966
AAGE02002981.1	chr2	52.532	CH477229.1	1030169	1201528
AAGE02002982.1	chr2	52.532	CH477229.1	1201629	1243298
AAGE02002998.1	chr2	52.532	CH477229.1	2093569	2183538
AAGE02003001.1	chr2	52.532	CH477229.1	2270581	2399132
AAGE02003005.1	chr2	52.532	CH477229.1	2476885	2562156
AAGE02003018.1	chr1	4.47	CH477230.1	69179	128088
AAGE02003019.1	chr2	65.871	CH477230.1	128189	388883
AAGE02003024.1	chr2	65.871	CH477230.1	572284	914550
AAGE02003028.1	chr2	65.871	CH477230.1	1179614	1471163
AAGE02003032.1	chr2	65.871	CH477230.1	1881383	1933803
AAGE02003038.1	chr2	65.871	CH477230.1	2506770	2943647
AAGE02003040.1	chr2	65.871	CH477230.1	3108408	3214345
AAGE02003055.1	chr3	33.231	CH477231.1	501852	540865
AAGE02003057.1	chr3	33.231	CH477231.1	642209	835048
AAGE02003058.1	chr3	33.231	CH477231.1	835149	907762
AAGE02003063.1	chr3	33.231	CH477231.1	1096632	1191603
AAGE02003064.1	chr3	33.231	CH477231.1	1192809	1265978
AAGE02003067.1	chr3	33.231	CH477231.1	1371629	1405800
AAGE02003068.1	chr3	33.231	CH477231.1	1405901	1611396
AAGE02003089.1	chr2	49.629	CH477231.1	2271881	2308208
AAGE02003095.1	chr2	49.629	CH477231.1	2366180	2373558
AAGE02003119.1	chr2	49.629	CH477231.1	3012520	3027789
AAGE02003121.1	chr2	49.629	CH477231.1	3103088	3225036
AAGE02003124.1	chr2	49.629	CH477231.1	3236671	3281796
AAGE02003130.1	chr2	73.499	CH477232.1	1	235890
AAGE02003131.1	chr2	73.499	CH477232.1	236920	413281
AAGE02003132.1	chr2	73.499	CH477232.1	413382	536353
AAGE02003133.1	chr2	73.499	CH477232.1	536454	751284
AAGE02003134.1	chr2	73.499	CH477232.1	751385	1135560
AAGE02003136.1	chr2	73.499	CH477232.1	1229736	1342305
AAGE02003143.1	chr2	73.499	CH477232.1	1681045	1782799
AAGE02003145.1	chr2	73.499	CH477232.1	1810422	1920623
AAGE02003163.1	chr2	58.962	CH477233.1	1	165558
AAGE02003166.1	chr2	58.962	CH477233.1	274170	400183
AAGE02003209.1	chr1	0	CH477233.1	1298833	1423177
AAGE02003239.1	chr2	46.756	CH477233.1	2106095	2164882
AAGE02003240.1	chr2	46.756	CH477233.1	2165390	2228108
AAGE02003243.1	chr2	46.756	CH477233.1	2320989	2368111
AAGE02003245.1	chr2	46.756	CH477233.1	2388093	2433303
AAGE02003250.1	chr2	46.756	CH477233.1	2494888	2509451
AAGE02003258.1	chr2	46.756	CH477233.1	2723935	2763609
AAGE02003269.1	chr2	52.532	CH477233.1	3121455	3141163
AAGE02003360.1	chr1	24.396	CH477235.1	1901740	2134275
AAGE02003366.1	chr1	24.396	CH477235.1	2307920	2636333
AAGE02003431.1	chr2	15.163	CH477237.1	330687	459842
AAGE02003448.1	chr2	15.163	CH477237.1	950453	953114
AAGE02003459.1	chr2	15.163	CH477237.1	1561529	1743599
AAGE02003479.1	chr2	11.517	CH477237.1	2876822	2954921
AAGE02003480.1	chr2	11.517	CH477237.1	2955640	3055144
AAGE02003481.1	chr2	11.517	CH477237.1	3055245	3122678
AAGE02003490.1	chr3	63.73	CH477238.1	58263	200013
AAGE02003491.1	chr3	63.73	CH477238.1	200114	332240
AAGE02003492.1	chr3	63.73	CH477238.1	332341	551639
AAGE02003496.1	chr3	63.73	CH477238.1	618154	1089448
AAGE02003498.1	chr3	63.73	CH477238.1	1105602	1195339
AAGE02003499.1	chr3	63.73	CH477238.1	1195740	1294196
AAGE02003500.1	chr3	63.73	CH477238.1	1294297	1658915
AAGE02003501.1	chr3	63.73	CH477238.1	1659016	1725927
AAGE02003507.1	chr3	63.73	CH477238.1	2388079	2428705
AAGE02003513.1	chr3	63.73	CH477238.1	2705474	2746783
AAGE02003622.1	chr2	52.532	CH477240.1	10255	327596
AAGE02003647.1	chr2	55.421	CH477240.1	2308698	2570541
AAGE02003649.1	chr2	55.421	CH477240.1	2575317	2850713
AAGE02003652.1	chr2	55.421	CH477240.1	2961444	3066660
AAGE02003653.1	chr2	55.421	CH477240.1	3066761	3097497
AAGE02003654.1	chr2	55.421	CH477240.1	3097598	3141549
AAGE02003668.1	chr1	21.535	CH477241.1	342802	511705
AAGE02003670.1	chr1	21.535	CH477241.1	531062	701706
AAGE02003695.1	chr1	21.535	CH477241.1	2335502	2460039
AAGE02003702.1	chr1	21.535	CH477241.1	2695913	2810048
AAGE02003703.1	chr1	21.535	CH477241.1	2810149	2913304
AAGE02003747.1	chr3	33.231	CH477242.1	1263611	1631477
AAGE02003749.1	chr3	33.231	CH477242.1	1747630	1865500
AAGE02003751.1	chr3	33.231	CH477242.1	1966450	2161262
AAGE02003773.1	chr2	41.035	CH477243.1	157524	198790
AAGE02003813.1	chr3	33.231	CH477243.1	2860937	3051783
AAGE02003922.1	chr3	33.231	CH477246.1	147844	161810
AAGE02003924.1	chr3	33.231	CH477246.1	186307	262021
AAGE02003953.1	chr3	33.231	CH477246.1	2764672	2824341
AAGE02003973.1	chr2	52.532	CH477247.1	483493	581667
AAGE02003978.1	chr2	52.532	CH477247.1	669275	822382
AAGE02003986.1	chr2	52.532	CH477247.1	1094510	1505775
AAGE02003989.1	chr2	52.532	CH477247.1	1547485	1658181
AAGE02003990.1	chr2	52.532	CH477247.1	1659072	1681476
AAGE02003992.1	chr2	52.532	CH477247.1	1691473	2139409
AAGE02003997.1	chr2	52.532	CH477247.1	2248115	2268329
AAGE02004005.1	chr2	73.499	CH477248.1	1	168682
AAGE02004006.1	chr2	70.322	CH477248.1	168783	299725
AAGE02004007.1	chr2	73.499	CH477248.1	299826	338603
AAGE02004008.1	chr2	73.499	CH477248.1	338704	355863
AAGE02004009.1	chr2	76.676	CH477248.1	355964	787045
AAGE02004010.1	chr2	76.676	CH477248.1	787149	845026
AAGE02004011.1	chr2	76.676	CH477248.1	845127	888004
AAGE02004012.1	chr2	76.676	CH477248.1	888105	938316
AAGE02004014.1	chr2	76.676	CH477248.1	943317	1038193
AAGE02004016.1	chr2	76.676	CH477248.1	1119700	1141194
AAGE02004018.1	chr2	76.676	CH477248.1	1268967	1488965
AAGE02004020.1	chr2	76.676	CH477248.1	1520001	1596440
AAGE02004021.1	chr2	76.676	CH477248.1	1596541	1716496
AAGE02004023.1	chr2	76.676	CH477248.1	1733178	1828137
AAGE02004024.1	chr2	76.676	CH477248.1	1828238	1908764
AAGE02004034.1	chr2	76.676	CH477248.1	2279830	2372080
AAGE02004064.1	chr2	90.996	CH477249.1	177730	554395
AAGE02004065.1	chr2	90.996	CH477249.1	554676	690290
AAGE02004068.1	chr2	90.996	CH477249.1	848088	1202813
AAGE02004079.1	chr2	90.996	CH477249.1	1632596	1910665
AAGE02004128.1	chr3	40.78	CH477250.1	1566392	1578025
AAGE02004133.1	chr3	33.231	CH477250.1	1788208	1881258
AAGE02004134.1	chr3	33.231	CH477250.1	1881359	2131711
AAGE02004139.1	chr3	33.231	CH477250.1	2276682	2331261
AAGE02004151.1	chr3	33.231	CH477250.1	2818039	2938260
AAGE02004191.1	chr1	21.535	CH477251.1	1663091	1785405
AAGE02004193.1	chr1	21.535	CH477251.1	1789658	1853327
AAGE02004235.1	chr2	46.756	CH477251.1	2899564	2982834
AAGE02004256.1	chr1	24.396	CH477252.1	1266794	1576315
AAGE02004280.1	chr3	33.231	CH477252.1	2863567	3004230
AAGE02004353.1	chr1	27.351	CH477255.1	28737	35956
AAGE02004355.1	chr1	27.351	CH477255.1	197323	395668
AAGE02004365.1	chr1	24.396	CH477255.1	979955	1072036
AAGE02004375.1	chr1	24.396	CH477255.1	1357036	1450795
AAGE02004392.1	chr1	24.396	CH477255.1	2208775	2397545
AAGE02004539.1	chr1	40.366	CH477258.1	1113310	1324580
AAGE02004561.1	chr3	8.823	CH477259.1	1	100046
AAGE02004573.1	chr3	8.823	CH477259.1	734811	898889
AAGE02004579.1	chr3	8.823	CH477259.1	1495199	1531251
AAGE02004592.1	chr1	21.535	CH477259.1	1983185	2083626
AAGE02004596.1	chr1	21.535	CH477259.1	2124834	2135856
AAGE02004622.1	chr1	21.535	CH477260.1	120270	214261
AAGE02004644.1	chr1	21.535	CH477260.1	1125035	1445971
AAGE02004649.1	chr1	21.535	CH477260.1	1523159	1642845
AAGE02004658.1	chr1	21.535	CH477260.1	1804076	1840176
AAGE02004696.1	chr2	52.532	CH477261.1	455849	585530
AAGE02004698.1	chr2	52.532	CH477261.1	647897	886090
AAGE02004706.1	chr2	52.532	CH477261.1	988539	1040639
AAGE02004713.1	chr2	52.532	CH477261.1	1519027	1557803
AAGE02004715.1	chr2	52.532	CH477261.1	1590506	1679896
AAGE02004723.1	chr2	52.532	CH477261.1	2260431	2376518
AAGE02004765.1	chr2	52.532	CH477262.1	1123006	1172189
AAGE02004775.1	chr2	21.697	CH477262.1	1563159	1599828
AAGE02004777.1	chr2	21.697	CH477262.1	1605274	1669377
AAGE02004778.1	chr2	21.697	CH477262.1	1669478	1893087
