CH477186.1 supercont1.1
CH478529.1 supercont1.1347
CH478530.1 supercont1.1348
CH478531.1 supercont1.1349
CH477320.1 supercont1.135
CH478532.1 supercont1.1350
CH478533.1 supercont1.1351
CH478534.1 supercont1.1352
CH478535.1 supercont1.1353
CH478536.1 supercont1.1354
CH478537.1 supercont1.1355
CH478538.1 supercont1.1356
CH478539.1 supercont1.1357
CH478540.1 supercont1.1358
CH478541.1 supercont1.1359
CH477321.1 supercont1.136
CH478542.1 supercont1.1360
CH478543.1 supercont1.1361
CH478544.1 supercont1.1362
CH478545.1 supercont1.1363
CH478546.1 supercont1.1364
CH478547.1 supercont1.1365
CH478548.1 supercont1.1366
CH478549.1 supercont1.1367
CH478550.1 supercont1.1368
CH478551.1 supercont1.1369
CH477322.1 supercont1.137
CH478552.1 supercont1.1370
CH478553.1 supercont1.1371
CH899797.1 supercont1.1372
CH478554.1 supercont1.1373
CH478555.1 supercont1.1374
CH478556.1 supercont1.1375
CH478557.1 supercont1.1376
CH478558.1 supercont1.1377
CH478559.1 supercont1.1378
CH478560.1 supercont1.1379
CH477323.1 supercont1.138
CH478561.1 supercont1.1380
CH478562.1 supercont1.1381
CH478563.1 supercont1.1382
CH478564.1 supercont1.1383
CH899798.1 supercont1.1384
CH478565.1 supercont1.1385
CH478566.1 supercont1.1386
CH478567.1 supercont1.1387
CH478568.1 supercont1.1388
CH478569.1 supercont1.1389
CH477324.1 supercont1.139
CH478570.1 supercont1.1390
CH478571.1 supercont1.1391
CH478572.1 supercont1.1392
CH478573.1 supercont1.1393
CH478574.1 supercont1.1394
CH478575.1 supercont1.1395
CH478576.1 supercont1.1396
CH478577.1 supercont1.1397
CH478578.1 supercont1.1398
CH478579.1 supercont1.1399
CH478580.1 supercont1.1400
CH478581.1 supercont1.1401
CH478582.1 supercont1.1402
CH478583.1 supercont1.1403
CH478584.1 supercont1.1404
CH478585.1 supercont1.1405
CH478586.1 supercont1.1406
CH478587.1 supercont1.1407
CH478588.1 supercont1.1408
CH478589.1 supercont1.1409
CH478590.1 supercont1.1410
CH478591.1 supercont1.1411
CH478592.1 supercont1.1412
CH478593.1 supercont1.1413
CH478594.1 supercont1.1414
CH478595.1 supercont1.1415
CH899799.1 supercont1.1416
CH478596.1 supercont1.1417
CH478597.1 supercont1.1418
CH478598.1 supercont1.1419
CH477327.1 supercont1.142
CH478599.1 supercont1.1420
CH478600.1 supercont1.1421
CH478601.1 supercont1.1422
CH478602.1 supercont1.1423
CH478603.1 supercont1.1424
CH478604.1 supercont1.1425
CH478605.1 supercont1.1426
CH478606.1 supercont1.1427
CH478607.1 supercont1.1428
CH478608.1 supercont1.1429
CH478609.1 supercont1.1430
CH478610.1 supercont1.1431
CH478611.1 supercont1.1432
CH478612.1 supercont1.1433
CH478613.1 supercont1.1434
CH478614.1 supercont1.1435
CH478615.1 supercont1.1436
CH478616.1 supercont1.1437
CH478617.1 supercont1.1438
CH478618.1 supercont1.1439
CH477329.1 supercont1.144
CH478619.1 supercont1.1440
CH478620.1 supercont1.1441
CH478621.1 supercont1.1442
CH478622.1 supercont1.1443
CH478623.1 supercont1.1444
CH478624.1 supercont1.1445
CH478625.1 supercont1.1446
CH478626.1 supercont1.1447
CH478627.1 supercont1.1448
CH899800.1 supercont1.1449
CH477330.1 supercont1.145
CH478628.1 supercont1.1450
CH478629.1 supercont1.1451
CH478630.1 supercont1.1452
CH478631.1 supercont1.1453
CH478632.1 supercont1.1454
CH478633.1 supercont1.1455
CH478634.1 supercont1.1456
CH478635.1 supercont1.1457
CH478636.1 supercont1.1458
CH478637.1 supercont1.1459
CH477331.1 supercont1.146
CH478638.1 supercont1.1460
CH478639.1 supercont1.1461
CH478640.1 supercont1.1462
CH478641.1 supercont1.1463
CH478642.1 supercont1.1464
CH478643.1 supercont1.1465
CH478644.1 supercont1.1466
CH478645.1 supercont1.1467
CH478646.1 supercont1.1468
CH478647.1 supercont1.1469
CH478648.1 supercont1.1470
CH478649.1 supercont1.1471
CH478650.1 supercont1.1472
CH478651.1 supercont1.1473
CH478652.1 supercont1.1474
CH899801.1 supercont1.1475
CH478653.1 supercont1.1476
CH478654.1 supercont1.1477
CH478655.1 supercont1.1478
CH478656.1 supercont1.1479
CH478657.1 supercont1.1480
CH478658.1 supercont1.1481
CH478659.1 supercont1.1482
CH478660.1 supercont1.1483
CH478661.1 supercont1.1484
CH478662.1 supercont1.1485
CH478663.1 supercont1.1486
CH478664.1 supercont1.1487
CH478665.1 supercont1.1488
CH478666.1 supercont1.1489
CH477334.1 supercont1.149
CH478667.1 supercont1.1490
CH478668.1 supercont1.1491
CH478669.1 supercont1.1492
CH478670.1 supercont1.1493
CH478671.1 supercont1.1494
CH478672.1 supercont1.1495
CH478673.1 supercont1.1496
CH478674.1 supercont1.1497
CH478675.1 supercont1.1498
CH478676.1 supercont1.1499
CH477200.1 supercont1.15
CH477335.1 supercont1.150
CH478677.1 supercont1.1500
CH899802.1 supercont1.1501
CH478678.1 supercont1.1502
CH478679.1 supercont1.1503
CH478680.1 supercont1.1504
CH478681.1 supercont1.1505
CH478682.1 supercont1.1506
CH478683.1 supercont1.1507
CH478684.1 supercont1.1508
CH478685.1 supercont1.1509
CH478686.1 supercont1.1510
CH478687.1 supercont1.1511
CH478688.1 supercont1.1512
CH478689.1 supercont1.1513
CH899803.1 supercont1.1514
CH478690.1 supercont1.1515
CH478691.1 supercont1.1516
CH478692.1 supercont1.1517
CH478693.1 supercont1.1518
CH478694.1 supercont1.1519
CH477337.1 supercont1.152
CH478695.1 supercont1.1520
CH478696.1 supercont1.1521
CH478697.1 supercont1.1522
CH478698.1 supercont1.1523
CH478699.1 supercont1.1524
CH899804.1 supercont1.1525
CH478700.1 supercont1.1526
CH478701.1 supercont1.1527
CH478702.1 supercont1.1528
CH478703.1 supercont1.1529
CH478704.1 supercont1.1530
CH478705.1 supercont1.1531
CH478706.1 supercont1.1532
CH478707.1 supercont1.1533
CH478708.1 supercont1.1534
CH478709.1 supercont1.1535
CH478710.1 supercont1.1536
CH478711.1 supercont1.1537
CH478712.1 supercont1.1538
CH478713.1 supercont1.1539
CH477339.1 supercont1.154
CH478714.1 supercont1.1540
CH478715.1 supercont1.1541
CH478716.1 supercont1.1542
CH478717.1 supercont1.1543
CH478718.1 supercont1.1544
CH478719.1 supercont1.1545
CH478720.1 supercont1.1546
CH478721.1 supercont1.1547
CH478722.1 supercont1.1548
CH478723.1 supercont1.1549
CH477340.1 supercont1.155
CH478724.1 supercont1.1550
CH478725.1 supercont1.1551
CH478726.1 supercont1.1552
CH478727.1 supercont1.1553
CH478728.1 supercont1.1554
CH478729.1 supercont1.1555
CH478730.1 supercont1.1556
CH478731.1 supercont1.1557
CH478732.1 supercont1.1558
CH478733.1 supercont1.1559
CH478734.1 supercont1.1560
CH478735.1 supercont1.1561
CH478736.1 supercont1.1562
CH478737.1 supercont1.1563
CH478738.1 supercont1.1564
CH478739.1 supercont1.1565
CH478740.1 supercont1.1566
CH478741.1 supercont1.1567
CH478742.1 supercont1.1568
CH478743.1 supercont1.1569
CH478744.1 supercont1.1570
CH478745.1 supercont1.1571
CH478746.1 supercont1.1572
CH478747.1 supercont1.1573
CH478748.1 supercont1.1574
CH478749.1 supercont1.1575
CH478750.1 supercont1.1576
CH478751.1 supercont1.1577
CH478752.1 supercont1.1578
CH478753.1 supercont1.1579
CH477343.1 supercont1.158
CH478754.1 supercont1.1580
CH478755.1 supercont1.1581
CH478756.1 supercont1.1582
CH478757.1 supercont1.1583
CH478758.1 supercont1.1584
CH478759.1 supercont1.1585
CH478760.1 supercont1.1586
CH478761.1 supercont1.1587
CH478762.1 supercont1.1588
CH478763.1 supercont1.1589
CH477344.1 supercont1.159
CH478764.1 supercont1.1590
CH478765.1 supercont1.1591
CH478766.1 supercont1.1592
CH478767.1 supercont1.1593
CH478768.1 supercont1.1594
CH478769.1 supercont1.1595
CH478770.1 supercont1.1596
CH478771.1 supercont1.1597
CH478772.1 supercont1.1598
CH478773.1 supercont1.1599
CH477201.1 supercont1.16
CH477345.1 supercont1.160
CH478774.1 supercont1.1600
CH478775.1 supercont1.1601
CH478776.1 supercont1.1602
CH478777.1 supercont1.1603
CH899805.1 supercont1.1604
CH478778.1 supercont1.1605
CH478779.1 supercont1.1606
CH478780.1 supercont1.1607
CH478781.1 supercont1.1608
CH478782.1 supercont1.1609
CH477346.1 supercont1.161
CH478783.1 supercont1.1610
CH478784.1 supercont1.1611
CH478785.1 supercont1.1612
CH478786.1 supercont1.1613
CH478787.1 supercont1.1614
CH478788.1 supercont1.1615
CH478789.1 supercont1.1616
CH478790.1 supercont1.1617
CH478791.1 supercont1.1618
CH478792.1 supercont1.1619
CH477347.1 supercont1.162
CH478793.1 supercont1.1620
CH478794.1 supercont1.1621
CH899806.1 supercont1.1622
CH478795.1 supercont1.1623
CH478796.1 supercont1.1624
CH478797.1 supercont1.1625
CH478798.1 supercont1.1626
CH478799.1 supercont1.1627
CH478800.1 supercont1.1628
CH478801.1 supercont1.1629
CH477348.1 supercont1.163
CH478802.1 supercont1.1630
CH478803.1 supercont1.1631
CH478804.1 supercont1.1632
CH478805.1 supercont1.1633
CH478806.1 supercont1.1634
CH478807.1 supercont1.1635
CH899807.1 supercont1.1636
CH899808.1 supercont1.1637
CH478808.1 supercont1.1638
CH478809.1 supercont1.1639
CH477349.1 supercont1.164
CH478810.1 supercont1.1640
CH478811.1 supercont1.1641
CH478812.1 supercont1.1642
CH478813.1 supercont1.1643
CH478814.1 supercont1.1644
CH899809.1 supercont1.1645
CH478815.1 supercont1.1646
CH899810.1 supercont1.1647
CH478816.1 supercont1.1648
CH478817.1 supercont1.1649
CH477350.1 supercont1.165
CH478818.1 supercont1.1650
CH478819.1 supercont1.1651
CH478820.1 supercont1.1652
CH478821.1 supercont1.1653
CH478822.1 supercont1.1654
CH478823.1 supercont1.1655
CH478824.1 supercont1.1656
CH478825.1 supercont1.1657
CH478826.1 supercont1.1658
CH478827.1 supercont1.1659
CH477351.1 supercont1.166
CH478828.1 supercont1.1660
CH478829.1 supercont1.1661
CH478830.1 supercont1.1662
CH478831.1 supercont1.1663
CH899812.1 supercont1.1665
CH899813.1 supercont1.1666
CH478832.1 supercont1.1667
CH478833.1 supercont1.1668
CH478834.1 supercont1.1669
